t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
12.8,31.6707,32,-0.219728,0,0.16823,0,2.52882,2.5,-0.0453611,0,0.00139916,0.0277981,-0.240846,-0.231829
12.9,31.9072,32.25,-0.203841,0,0.164349,0,2.21656,2.5,-0.0368769,0,0.594931,-0.0627049,-0.217231,-0.222023
13,32.1229,32.5,-0.194409,0,0.162028,0,2.31403,2.5,-0.0185542,0,0.652356,-0.0281734,-0.257861,-0.211662
13.1,32.3397,32.75,-0.175848,0,0.159408,0,2.18038,2.5,-0.0290399,0,0.960413,0.0253622,-0.276202,-0.200772
13.2,32.557,33,-0.16608,0,0.157166,0,2.17268,2.5,-0.0588398,0,1.11058,0.075331,-0.261915,-0.18938
13.3,32.7706,33.25,-0.157374,0,0.152195,0,2.12189,2.5,-0.0660405,0,1.29046,0.208306,-0.313876,-0.177515
13.4,32.9635,33.5,-0.152791,0,0.147176,0,1.93564,2.5,-0.0606172,0,1.76436,0.153935,-0.285047,-0.165206
13.5,33.1554,33.75,-0.134176,0,0.14357,0,1.90963,2.5,-0.0396995,0,2.06607,0.0156838,-0.245916,-0.152484
13.6,33.3535,34,-0.116971,0,0.140843,0,2.05971,2.5,-0.0356782,0,1.99151,0.0662879,-0.261127,-0.139381
13.7,33.6019,34.25,-0.0991733,0,0.13676,0,2.69004,2.5,-0.0583396,0,0.890956,0.174279,-0.294185,-0.125929
13.8,33.8679,34.5,-0.0754244,0,0.133846,0,2.59302,2.5,-0.0218644,0,0.687023,-0.00224467,-0.250257,-0.112163
13.9,34.1305,34.75,-0.0514575,0,0.131815,0,2.95627,2.5,-0.0212671,0,-0.0713917,-0.0123844,-0.235594,-0.0981164
14,34.4092,35,-0.027472,0,0.128213,0,3.04791,2.5,-0.0710974,0,-0.516913,0.106089,-0.225889,-0.0838246
14.1,34.71,35.25,0.000194297,0,0.122617,0,3.05105,2.5,-0.0416076,0,-0.723036,0.0677169,-0.241837,-0.0693233
14.2,35.0061,35.5,0.0325543,0,0.11976,0,3.17099,2.5,-0.0271892,0,-1.08798,-0.0639187,-0.182252,-0.0546488
14.3,35.3194,35.75,0.0595239,0,0.115542,0,3.27833,2.5,-0.0524549,0,-1.48278,-0.0269381,-0.161821,-0.0398376
14.4,35.6376,36,0.0912628,0,0.108766,0,3.23005,2.5,-0.0518663,0,-1.62065,-0.106679,-0.12098,-0.0249268
14.5,35.9312,36.25,0.12146,0,0.101477,0,2.93991,2.5,-0.080503,0,-1.24692,-0.083045,-0.0879335,-0.00995376
14.6,36.2156,36.5,0.14316,0,0.0947229,0,2.70925,2.5,-0.0626944,0,-0.773497,-0.0465095,-0.114219,0.00504417
14.7,36.4764,36.75,0.174451,0,0.0886294,0,2.70951,2.5,-0.0870909,0,-0.299909,0.0363339,-0.111945,0.0200295
14.8,36.765,37,0.192751,0,0.0789416,0,3.08276,2.5,-0.11533,0,-1.20699,0.0173718,-0.0671855,0.0349648
14.9,37.0598,37.25,0.219652,0,0.0669356,0,2.93277,2.5,-0.107009,0,-1.30452,0.125027,-0.120281,0.0498126
15,37.327,37.5,0.24341,0,0.0585744,0,2.64259,2.5,-0.0807401,0,-0.842314,-0.0103534,-0.0880064,0.064536
15.1,37.5783,37.75,0.27069,0,0.0505892,0,2.64339,2.5,-0.104498,0,-0.165908,0.103334,-0.0833521,0.0790981
15.2,37.8493,38,0.297076,0,0.0405916,0,2.65693,2.5,-0.116506,0,-0.226493,0.128382,-0.0771635,0.0934624
15.3,38.1215,38.25,0.328653,0,0.0292809,0,2.86783,2.5,-0.131237,0,-0.960731,0.258557,-0.108368,0.107593
15.4,38.4081,38.5,0.346948,0,0.0184723,0,2.9058,2.5,-0.0935067,0,-1.26932,0.173823,-0.110841,0.121455
15.5,38.7181,38.75,0.362958,0,0.00840082,0,3.25411,2.5,-0.0763651,0,-2.04984,0.118118,-0.0713467,0.135013
15.6,39.0372,39,0.370584,0,0.00180673,0,3.1767,2.5,-0.0371857,0,-2.26422,-0.0295148,-0.0440567,0.148234
15.7,39.3468,39.25,0.384607,0,-0.00275048,0,2.78408,2.5,-0.0482115,0,-1.71438,-0.130751,0.0404365,0.161084
15.8,39.6118,39.5,0.3983,0,-0.0089858,0,2.48719,2.5,-0.0766361,0,-1.03832,-0.209104,0.131585,0.173532
15.9,39.8385,39.75,0.418516,0,-0.0164626,0,2.37903,2.5,-0.0977049,0,-0.638072,-0.0688306,0.101333,0.185546
16,40.0626,40,0.429337,0,-0.0236331,0,2.25598,2.5,-0.100668,0,-0.291528,-0.108449,0.123301,0.197096
16.1,40.2969,40.25,0.443609,0,-0.0320916,0,2.46971,2.5,-0.128011,0,-0.536062,-0.0922838,0.167184,0.208153
16.2,40.5533,40.25,0.456969,0,-0.0436782,0,2.67793,2.5,-0.12326,0,-0.945572,-0.00566228,0.131646,0.218691
16.3,40.7984,40.75,0.464776,0,-0.054191,0,2.39648,2.5,-0.142666,0,-0.572089,-0.00410654,0.174448,0.228681
16.4,41.0395,40.75,0.478302,0,-0.0663577,0,2.14311,2.5,-0.164428,0,0.279978,0.149909,0.174627,0.2381
16.5,41.2661,41.25,0.481574,0,-0.0787376,0,2.27758,2.5,-0.131228,0,0.0597399,0.044731,0.17197,0.246924
16.6,41.4793,41.5,0.485887,0,-0.0894679,0,2.14014,2.5,-0.163314,0,0.27994,0.158473,0.192813,0.255131
16.7,41.6862,41.5,0.494979,0,-0.0990218,0,1.87858,2.5,-0.115867,0,0.882634,-0.0213525,0.209941,0.2627
16.8,41.8684,42,0.501975,0,-0.105668,0,1.78248,2.5,-0.10974,0,1.31805,0.0568862,0.172656,0.269612
