t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.505,1.11423,1.25,-0.00217941,0,0.00104791,0,2.33877,2.5,0.0042483,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.51,1.12393,1.25,-0.00147758,0,0.000995861,0,2.34018,2.5,0.0042921,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.515,1.137,1.25,-0.00365443,0,0.00104039,0,2.26691,2.5,0.00364738,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.52,1.14607,1.25,-0.00381901,0,0.00115913,0,2.21209,2.5,0.0115075,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.525,1.15916,1.25,-0.00333585,0,0.00105906,0,2.29414,2.5,0.0150498,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.53,1.1707,1.25,-0.00355392,0,0.00103194,0,2.23601,2.5,0.0192509,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.535,1.18202,1.25,-0.00356184,0,0.00107175,0,2.2969,2.5,0.0226854,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.54,1.19262,1.25,-0.00390347,0,0.00106877,0,2.30317,2.5,0.0238045,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.545,1.20319,1.25,-0.0032053,0,0.00115177,0,2.25621,2.5,0.0148406,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.55,1.21418,1.25,-0.0026038,0,0.0010435,0,2.27616,2.5,0.0073716,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.555,1.22467,1.25,-0.0014092,0,0.00090104,0,2.32239,2.5,0.00546393,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
0.56,1.23659,1.25,-0.00117498,0,0.000860272,0,2.35158,2.5,0.00101653,0,0.171919,0.0108376,1.20516,-0.116715,1.16171,-0.0453315
