t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
8.7,21.3716,21.75,0.327117,0,-0.0906812,0,2.0611,2.5,0.0792934,0,1.21715,-0.0812144,0.0471571,-0.0620706
8.8,21.5892,22,0.304592,0,-0.0864766,0,2.2254,2.5,0.0447581,0,1.06497,-0.00994908,0.0985994,-0.0766623
8.9,21.8358,22.25,0.273203,0,-0.0838973,0,2.76927,2.5,0.00544117,0,-0.129543,0.0960029,0.0612847,-0.0910625
9,22.1161,22.5,0.241551,0,-0.0798687,0,2.80351,2.5,0.0676791,0,-0.277724,-0.0767347,0.0713226,-0.105235
9.1,22.4012,22.5,0.205852,0,-0.073071,0,3.1938,2.5,0.0642323,0,-1.10226,-0.0950377,0.123075,-0.119144
9.2,22.7158,23,0.169084,0,-0.0655308,0,2.94558,2.5,0.0888086,0,-1.01748,-0.163021,0.0724182,-0.132756
9.3,23.02,23.25,0.139225,0,-0.0554791,0,3.10565,2.5,0.10866,0,-1.36437,-0.218612,0.0106909,-0.146036
9.4,23.3106,23.5,0.105363,0,-0.0441301,0,2.86899,2.5,0.103107,0,-1.13532,-0.197096,-0.0130435,-0.158951
9.5,23.5982,23.75,0.0787912,0,-0.033078,0,2.77733,2.5,0.108217,0,-0.93878,-0.225996,-0.0618308,-0.171468
9.6,23.89,23.75,0.0574674,0,-0.0250333,0,2.84003,2.5,0.0697238,0,-1.02043,-0.144969,-0.0789162,-0.183557
9.7,24.1587,24.25,0.0323023,0,-0.0190123,0,2.48847,2.5,0.0547619,0,-0.212054,-0.0825678,-0.123151,-0.195188
9.8,24.4091,24.5,0.0159327,0,-0.0132652,0,2.39928,2.5,0.0899392,0,0.0385122,-0.169584,-0.126974,-0.20633
9.9,24.656,24.75,-0.00995072,0,-0.00634461,0,2.56437,2.5,0.0695651,0,-0.299456,-0.116885,-0.168296,-0.216956
10,24.9041,25,-0.0313122,0,-0.000324898,0,2.48455,2.5,0.0527074,0,-0.14885,-0.108505,-0.135099,-0.227041
10.1,25.1375,25,-0.0553177,0,0.00482992,0,2.46913,2.5,0.0541065,0,-0.090352,-0.13845,-0.0916738,-0.236558
10.2,25.3761,25.5,-0.0820025,0,0.00752061,0,2.36294,2.5,0.00206691,0,0.0918526,-0.0130244,-0.0933864,-0.245483
10.3,25.6187,25.75,-0.104733,0,0.00962422,0,2.42123,2.5,0.0284195,0,0.0297377,-0.0570819,-0.178411,-0.253795
10.4,25.874,26,-0.128844,0,0.0114801,0,2.34887,2.5,0.0362956,0,0.179387,-0.0826896,-0.190326,-0.261473
10.5,26.1099,26.25,-0.157634,0,0.013982,0,2.23989,2.5,-0.000265389,0,0.38667,0.0323739,-0.185041,-0.268497
10.6,26.3264,26.25,-0.185205,0,0.0135659,0,2.28238,2.5,0.0199943,0,0.312326,-0.0222251,-0.203466,-0.27485
10.7,26.5687,26.75,-0.210787,0,0.0160803,0,2.60791,2.5,0.0378209,0,-0.172265,-0.0547123,-0.21393,-0.280516
10.8,26.833,27,-0.230069,0,0.0194747,0,2.66072,2.5,0.029852,0,-0.409524,-0.0196954,-0.231852,-0.285481
10.9,27.0994,27.25,-0.246711,0,0.0227287,0,2.59178,2.5,0.0424247,0,-0.16956,-0.0597908,-0.216398,-0.289732
11,27.3679,27.5,-0.266485,0,0.0270746,0,2.56426,2.5,0.0515321,0,-0.13434,-0.0754722,-0.20835,-0.293259
11.1,27.6362,27.5,-0.282732,0,0.0336191,0,2.70174,2.5,0.0520796,0,-0.512635,-0.112327,-0.186225,-0.296053
11.2,27.9024,28,-0.304881,0,0.0379668,0,2.87319,2.5,0.0685907,0,-0.970272,-0.163459,-0.199035,-0.298107
11.3,28.1878,28.25,-0.325815,0,0.0454903,0,2.92624,2.5,0.0680848,0,-1.27098,-0.187575,-0.235776,-0.299416
11.4,28.478,28.5,-0.335685,0,0.05387,0,2.63759,2.5,0.0754681,0,-0.886251,-0.218818,-0.226459,-0.299977
11.5,28.7231,28.75,-0.351236,0,0.0579128,0,2.56266,2.5,0.00216513,0,-0.649867,-0.00185553,-0.274274,-0.299788
11.6,28.9962,28.75,-0.362657,0,0.0571275,0,2.89926,2.5,-0.0423769,0,-1.20745,0.0956692,-0.237939,-0.298849
11.7,29.2878,29.25,-0.374146,0,0.0546597,0,2.94098,2.5,-0.0291404,0,-1.51132,0.0750576,-0.257399,-0.297164
11.8,29.5763,29.5,-0.387592,0,0.0503416,0,2.80482,2.5,-0.0454073,0,-1.45387,0.169511,-0.296726,-0.294736
11.9,29.8411,29.75,-0.399408,0,0.0461075,0,2.24445,2.5,-0.0370191,0,-0.487791,0.172948,-0.310285,-0.291571
12,30.0498,30,-0.42483,0,0.0454163,0,2.15895,2.5,-0.00693361,0,-0.0124353,0.0830583,-0.286365,-0.287677
12.1,30.265,30,-0.44225,0,0.0468415,0,2.02814,2.5,0.0292122,0,0.469788,0.0133322,-0.315689,-0.283065
12.2,30.4505,30.5,-0.463255,0,0.0496023,0,1.80128,2.5,0.0594428,0,1.02011,-0.0334905,-0.326453,-0.277744
12.3,30.6294,30.75,-0.47439,0,0.0542034,0,1.93182,2.5,0.069522,0,1.0548,-0.0747004,-0.310435,-0.27173
12.4,30.8299,31,-0.488657,0,0.0599749,0,2.16381,2.5,0.0739377,0,0.279896,-0.102316,-0.30263,-0.265036
12.5,31.0456,31.25,-0.507021,0,0.0633508,0,2.13382,2.5,0.0295724,0,0.554618,0.0190171,-0.336949,-0.25768
12.6,31.2533,31.25,-0.516141,0,0.0651634,0,2.02939,2.5,0.0222812,0,0.901788,0.0187792,-0.305208,-0.24968
12.7,31.4601,31.75,-0.527526,0,0.0673098,0,2.2081,2.5,0.0454156,0,0.428894,-0.069305,-0.250422,-0.241056
