t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.525,1.17961,1.25,-0.00351022,0,0.000919684,0,2.37465,2.5,0.0159298,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.53,1.19156,1.25,-0.00372952,0,0.00089825,0,2.3161,2.5,0.0201748,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.535,1.20328,1.25,-0.00373857,0,0.000944411,0,2.37658,2.5,0.0236533,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.54,1.21427,1.25,-0.00408129,0,0.000948521,0,2.38243,2.5,0.0248163,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.545,1.22524,1.25,-0.00338413,0,0.00103893,0,2.33505,2.5,0.0158964,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.55,1.23663,1.25,-0.00278349,0,0.000936929,0,2.35458,2.5,0.00847136,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.555,1.2475,1.25,-0.00158974,0,0.00079993,0,2.4004,2.5,0.00660766,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.56,1.25982,1.25,-0.00135638,0,0.000764631,0,2.42917,2.5,0.00220422,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.565,1.27277,1.25,-0.00197631,0,0.000898563,0,2.43989,2.5,0.00934027,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.57,1.2832,1.25,-0.00123109,0,0.000996949,0,2.47048,2.5,0.00912313,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.575,1.29528,1.25,-0.00239391,0,0.000842135,0,2.44567,2.5,0.0172826,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.58,1.30804,1.25,-0.000944405,0,0.00085619,0,2.43239,2.5,0.0179628,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.585,1.32011,1.25,-0.00117337,0,0.000952264,0,2.45348,2.5,0.0150913,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.59,1.33421,1.25,-0.00225066,0,0.0008079,0,2.45679,2.5,0.0155614,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.595,1.34653,1.25,-0.00278252,0,0.000754657,0,2.50328,2.5,0.0109036,0,0.0884429,0.0196298,1.22315,-0.116882,1.113,-0.0782646
0.6,1.35904,1.25,-0.00204077,0,0.00080336,0,2.56903,2.5,0.0122299,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.605,1.37152,1.5,-0.00303379,0,0.00078106,0,2.57596,2.5,0.00162141,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.61,1.38578,1.5,-0.00361399,0,0.000677189,0,2.59603,2.5,-0.00443725,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.615,1.39861,1.5,-0.00343886,0,0.000618333,0,2.67236,2.5,-0.00899369,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.62,1.41417,1.5,-0.00348201,0,0.000449522,0,2.57595,2.5,-0.00597269,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.625,1.42728,1.5,-0.0049694,0,0.000441048,0,2.67567,2.5,-0.00867826,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.63,1.44246,1.5,-0.00446196,0,0.000578648,0,2.63967,2.5,-0.011476,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.635,1.45631,1.5,-0.00290334,0,0.000503371,0,2.676,2.5,-0.0179447,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.64,1.46835,1.5,-0.00253776,0,0.000311344,0,2.70582,2.5,-0.0183431,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.645,1.48148,1.5,-0.00160623,0,0.000239141,0,2.66138,2.5,-0.0247907,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.65,1.49427,1.5,-0.00275029,0,2.27733e-05,0,2.66138,2.5,-0.0271712,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.655,1.50639,1.5,-0.00350128,0,-2.98398e-05,0,2.68981,2.5,-0.0320432,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.66,1.52012,1.5,-0.00325043,0,-0.000123272,0,2.75633,2.5,-0.0347669,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.665,1.53493,1.5,-0.00527497,0,-0.000272365,0,2.76085,2.5,-0.0439675,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.67,1.54711,1.5,-0.00485421,0,-0.000585916,0,2.78237,2.5,-0.0489391,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.675,1.55973,1.5,-0.00400214,0,-0.00070772,0,2.74648,2.5,-0.0403442,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.68,1.57264,1.5,-0.00491076,0,-0.00111216,0,2.70035,2.5,-0.0302382,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.685,1.58708,1.5,-0.00673627,0,-0.00113482,0,2.68334,2.5,-0.0219946,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.69,1.6024,1.5,-0.00620648,0,-0.00104057,0,2.60631,2.5,-0.019903,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.695,1.61733,1.5,-0.00648863,0,-0.000999344,0,2.63519,2.5,-0.0226547,0,0.117644,-0.0641364,1.28168,0.101639,1.23108,0.0476678
0.7,1.63007,1.75,-0.00690103,0,-0.00107411,0,2.64966,2.5,-0.0169652,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.705,1.64328,1.75,-0.00827406,0,-0.00119716,0,2.6957,2.5,-0.0150068,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.71,1.65822,1.75,-0.00725059,0,-0.00142048,0,2.68003,2.5,-0.0181328,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.715,1.67198,1.75,-0.00723063,0,-0.00149607,0,2.67847,2.5,-0.0259957,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.72,1.68562,1.75,-0.00641503,0,-0.00167408,0,2.66954,2.5,-0.0194297,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
0.725,1.69888,1.75,-0.00562791,0,-0.00167815,0,2.7507,2.5,-0.0144367,0,-0.260719,0.0708211,1.74011,-0.123638,1.5874,-0.0722465
